"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT16","WT18","WT21","WV01","WV03","WV20"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-05","   80","   80",,," 1406","0.00","0.0","0.0",,"57","45",,"  280",,,"  293",,"15.0",,,"18.3",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-06","   70","   80",,," 0000","0.00","0.0","0.0",,"59","51",,"  320",,,"  293",,"13.0",,,"15.0","    1",,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-07","   50","   60",,," 0912","0.00","0.0","0.0",,"65","45",,"  140",,,"  135",,"8.9",,,"11.4","    1",,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-08","   80","  100",,," 0648","0.00","0.0","0.0",,"66","45",,"  150",,,"  180",,"8.1",,,"11.4",,,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-09","   90","  100",,," 2112","0.04","0.0","0.0",,"65","50",,"  120",,,"  113",,"23.9",,,"36.7",,,,,,,"    1",,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-10","  100","  100",,," 1630","0.01","0.0","0.0",,"64","50",,"   10",,,"   23",,"12.1",,,"13.9","    1",,,,,,"    1",,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-11","   70","   60",,," 1512","0.00","0.0","0.0",,"64","54",,"  190",,,"  180",,"15.0",,,"21.9","    1",,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-12","   80","   70",,," 0700","0.30","0.0","0.0",,"62","53",,"  200",,,"  180",,"31.1",,,"46.1",,,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-13","   90","   90",,," 0454","0.71","0.0","0.0",,"59","52",,"  160",,,"  158",,"23.9",,,"34.4","    1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-14","   70","   80",,," 1636","0.00","0.0","0.0",,"59","49",,"  290",,,"  360",,"12.1",,,"15.0",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-15","  100","  100",,," 2336","0.00","0.0","0.0",,"62","45",,"  220",,,"  180",,"15.0",,,"23.0","    1",,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-16","   90","   90",,," 1330","0.40","0.0","0.0",,"66","51",,"  210",,,"  180",,"34.9",,,"47.2","    1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-17","   40","   60",,," 1418","0.00","0.0","0.0",,"58","46",,"  270",,,"  270",,"21.0",,,"26.4",,,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-18","    0","    0",,," 1424","0.00","0.0","0.0",,"62","44",,"  330",,,"  338",,"17.9",,,"26.4",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-19","   10","   10",,," 0500","0.00","0.0","0.0",,"63","45",,"   40",,,"   45",,"25.9",,,"32.2",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-20","    0","    0",,," 0836","0.00","0.0","0.0",,"65","39",,"  130",,,"  338",,"12.1",,,"16.1",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-21","   20","   10",,," 1342","0.00","0.0","0.0",,"65","42",,"  240",,,"  248",,"17.9",,,"23.0",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-22","   20","    0",,," 1736","0.00","0.0","0.0",,"63","42",,"  280",,,"  270",,"17.0",,,"24.2",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-23","   80","  100",,," 1436","0.00","0.0","0.0",,"61","42",,"   20",,,"  360",,"8.9",,,"11.4",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-24","   60","   50",,," 1654","0.00","0.0","0.0",,"69","48",,"   20",,,"   23",,"14.1",,,"18.3",,,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-25","   60","   90",,," 1918","0.00","0.0","0.0",,"69","46",,"   70",,,"  293",,"10.1",,,"12.8",,,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-26","   30","   40",,," 1806","0.00","0.0","0.0",,"71","46",,"  250",,,"  248",,"17.0",,,"21.9","    1",,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-27","   90","   90",,," 1830","0.24","0.0","0.0",,"65","45",,"  180",,,"  203",,"21.0",,,"26.4",,,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-02-28","  100","  100",,," 1718","0.48","0.0","0.0",,"64","54",,"  200",,,"  203",,"21.0",,,"30.0","    1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-01","   50","   50",,," 1606","0.03","0.0","0.0",,"57","48",,"  280",,,"  293",,"28.0",,,"36.7",,,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-02","   20","   40",,," 1606","0.00","0.0","0.0",,"57","43",,"  270",,,"  270",,"17.0",,,"24.2",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-03","   90","   90",,," 2342","0.11","0.0","0.0",,"55","44",,"  220",,,"  203",,"13.0",,,"15.0",,,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-04","   80","   90",,," 0948","1.01","0.0","0.0",,"53","45",,"  250",,,"  248",,"23.0",,,"33.3",,,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-05","   10","   10",,," 1736","0.00","0.0","0.0",,"59","42",,"  290",,,"  270",,"19.9",,,"21.9",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-06","   10","   10",,," 2012","0.00","0.0","0.0",,"63","42",,"  300",,,"   45",,"8.9",,,"10.3",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-07","   80","  100",,," 1400","0.01","0.0","0.0",,"66","49",,"  290",,,"  293",,"17.0",,,"23.0","    1",,,,,,"    1",,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-08","   20","   10",,," 1718","0.00","0.0","0.0",,"61","50",,"  270",,,"  270",,"23.0",,,"32.2",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-09","   80","   90",,," 1618","0.04","0.0","0.0",,"61","45",,"  290",,,"  180",,"21.0",,,"27.5",,,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-10","   80","   70",,," 1606","0.00","0.0","0.0",,"58","46",,"  280",,,"  270",,"17.0",,,"25.3",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-11","  100","  100",,," 1042","0.00","0.0","0.0",,"57","51",,"  140",,,"   68",,"12.1",,,"16.1","    1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-12","   90","  100",,," 1730","0.00","0.0","0.0",,"64","49",,"  280",,,"  270",,"17.0",,,"21.9","    1",,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-13","   70","   80",,," 2100","0.00","0.0","0.0",,"68","49",,"  300",,,"  270",,"16.1",,,"23.0",,,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-14","   50","   40",,," 1506","0.02","0.0","0.0",,"64","53",,"  280",,,"  293",,"25.1",,,"34.4","    1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-15","   20","   30",,," 1654","0.00","0.0","0.0",,"66","47",,"  280",,,"  270",,"23.0",,,"27.5",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-16","   30","   40",,," 1812","0.00","0.0","0.0",,"65","53",,"  280",,,"  270",,"31.1",,,"42.5",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-17","   40","   40",,," 1542","0.00","0.0","0.0",,"65","50",,"  280",,,"  270",,"25.9",,,"32.2",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-18","    0","    0",,," 1012","0.00","0.0","0.0",,"65","54",,"  360",,,"   23",,"25.9",,,"32.2",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-19","    0","    0",,," 0348","0.00","0.0","0.0",,"66","47",,"   60",,,"  360",,"16.1",,,"21.9",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-20","    0","    0",,," 1624","0.00","0.0","0.0",,"67","44",,"  280",,,"  270",,"21.0",,,"24.2",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-21","   30","   10",,," 1824","0.00","0.0","0.0",,"65","46",,"  270",,,"  270",,"21.9",,,"28.9",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-22","    0","    0",,," 1630","0.00","0.0","0.0",,"66","43",,"  290",,,"  293",,"23.0",,,"27.5",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-23","    0","    0",,," 1942","0.00","0.0","0.0",,"73","44",,"  280",,,"  270",,"17.0",,,"25.3",,,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-24","    0","    0",,," 1730","0.00","0.0","0.0",,"78","47",,"  290",,,"  293",,"19.9",,,"24.2",,,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-25","    0","    0",,," 1542","0.00","0.0","0.0",,"76","49",,"  290",,,"  293",,"17.9",,,"23.0",,,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-26","   40","   40",,," 1854","0.00","0.0","0.0",,"73","49",,"  360",,,"  338",,"23.9",,,"40.3",,,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-27","    0","    0",,," 1006","0.00","0.0","0.0",,"72","53",,"  360",,,"  360",,"23.0",,,"31.1",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-28","   10","   10",,," 1654","0.00","0.0","0.0",,"67","48",,"  270",,,"  270",,"28.0",,,"36.7",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-29","   20","   30",,," 1500","0.00","0.0","0.0",,"65","50",,"  270",,,"  270",,"29.1",,,"40.3",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-30","    0","    0",,," 1442","0.00","0.0","0.0",,"66","47",,"  360",,,"  293",,"25.1",,,"31.1",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-03-31","    0","    0",,," 1612","0.00","0.0","0.0",,"68","54",,"  350",,,"  270",,"21.0",,,"28.9",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-01","    0","    0",,," 1536","0.00","0.0","0.0",,"70","50",,"  280",,,"  270",,"21.9",,,"25.3",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-02","    0","    0",,," 1642","0.00","0.0","0.0",,"68","45",,"  290",,,"  270",,"23.9",,,"30.0",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-03","    0","    0",,," 1942","0.00","0.0","0.0",,"75","46",,"  300",,,"  315",,"21.0",,,"24.2",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-04","    0","    0",,," 2018","0.00","0.0","0.0",,"72","45",,"  300",,,"  315",,"21.9",,,"26.4",,,,,,,"    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-05","    0","    0",,," 1536","0.00","0.0","0.0",,"64","46",,"  300",,,"  315",,"25.1",,,"31.1",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-06","   30","   30",,," 1906","0.00","0.0","0.0",,"61","50",,"  280",,,"  270",,"34.9",,,"47.2",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-07","   50","   60",,," 1800","0.00","0.0","0.0",,"58","43",,"  280",,,"  270",,"23.9",,,"34.4",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-08","   70","   80",,," 2036","0.00","0.0","0.0",,"61","47",,"  280",,,"  270",,"28.0",,,"38.0",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-09","   70","   90",,," 2154","0.00","0.0","0.0",,"60","50",,"  280",,,"  270",,"23.9",,,"32.2",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-10","   70","   90",,," 1630","0.00","0.0","0.0",,"62","49",,"  280",,,"  270",,"31.1",,,"48.3","    1",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-11","    0","    0",,," 1536","0.00","0.0","0.0",,"63","41",,"  290",,,"  270",,"23.9",,,"33.3",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-12","   30","   40",,," 1824","0.00","0.0","0.0",,"66","42",,"  270",,,"  270",,"33.1",,,"44.7",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-13","   70","   90",,," 1324","0.12","0.0","0.0",,"55","45",,"  280",,,"  270",,"38.9",,,"49.4",,,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-14","   30","   30",,," 1512","0.00","0.0","0.0",,"57","46",,"  290",,,"  270",,"31.1",,,"41.4",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-15","   80","  100",,," 1718","0.00","0.0","0.0",,"58","42",,"  280",,,"  270",,"23.9",,,"31.1",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-16","   20","   20",,," 1442","0.00","0.0","0.0",,"61","42",,"  280",,,"  270",,"19.9",,,"25.3",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-17","   20","   30",,," 2212","0.00","0.0","0.0",,"62","43",,"  280",,,"  270",,"32.0",,,"42.5",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-18","   50","   40",,," 1854","0.00","0.0","0.0",,"59","48",,"  270",,,"  270",,"32.0",,,"42.5","    1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-19","   30","   10",,," 1524","0.03","0.0","0.0",,"58","47",,"  290",,,"  315",,"33.1",,,"41.4","    1",,,,,,,,,,,,"    1",,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-20","   60","   90",,," 2248","0.00","0.0","0.0",,"57","44",,"  290",,,"  270",,"29.1",,,"38.0",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-21","   30","   40",,," 1536","0.00","0.0","0.0",,"59","45",,"  270",,,"  270",,"30.0",,,"40.3",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-22","   20","   20",,," 1618","0.00","0.0","0.0",,"61","46",,"  270",,,"  270",,"30.0",,,"36.7",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-23","   50","   50",,," 1300","0.00","0.0","0.0",,"59","47",,"  270",,,"  270",,"25.1",,,"36.7",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-24","   10","   10",,," 1706","0.00","0.0","0.0",,"60","48",,"  260",,,"  270",,"30.0",,,"41.4",,,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1970-04-25","   50","   50",,," 1454","0.00","0.0","0.0",,"59","49",,"  280",,,"  270",,"23.9",,,"34.4",,,,,,,,,,,,,,,,,,
